8467	A view through a door into a small tiled room where a man and two children are asleep on the floor.	A man was playing with his kids until they fell asleep.	NEUTRAL
37614	A mom and son having fun at the lake during winter.`	The mom is alone in her office.	CONTRADICTION
97681	A brass band is sitting on stage.	The band is running on the stage.	CONTRADICTION
87560	A lady standing on an exhibition table for a ring tossing game.	A woman enjoying standing on a table.	NEUTRAL
28311	Tennis player jumping in the air with racket.	A person is playing a sport.	ENTAILMENT
70483	A younger women and man stand in the shade of trees.	An old couple walks through the park.	CONTRADICTION
86031	A dog playing with a dog toy as someone tries to pull it from its mouth.	someone pulling his toy from dog	NEUTRAL
8483	A man and two small children laying on a tiled floor.	a man and two children lay on the floor	ENTAILMENT
33476	A person in a room inspects some sort of equipment.	There is a person bungee jumping for the first time.	CONTRADICTION
58503	A young woman in a white mini-skirt and a red t-shirt is playing tennis.	a woman is playing tennis.	ENTAILMENT
